pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,pos2_person_id,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pos1_person_id,pos2_person_id,pos3_person_id,pos4_person_id,pos5_person_id,pos6_person_id,pos7_person_id,pos8_person_id,pos9_person_id,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number
FT,9/24/2015,98.1,-2.7711,5.951,Pedro Alvarez,476883,545064,home_run,hit_into_play_score,,,,,5,Pedro Alvarez homers (26) on a line drive to right center field.    Starling Marte scores.    Neil Walker scores.,R,L,R,COL,PIT,X,null,line_drive,2,1,2015,-0.946908333,0.627133333,-0.166,2.29,null,516782,435522,2,8,Top,189.85,36.11,,,572863,,150924_153734,8.439,-142.507,-5.207,-12.074,32.506,-25.959,3.51,1.64,421,115.1,18.074,97.333,1996,6.055,415935,545064,572863,572019,501255,571448,542436,592621,572816,471865,54.444,0.891,1.491,2,1,0,3,6,67,4
FF,7/8/2015,89.5,1.8867,6.049,Mike Trout,545361,543734,home_run,hit_into_play_score,,,,,6,Mike Trout homers (24) on a line drive to center field.,R,R,L,COL,LAA,X,null,line_drive,3,1,2015,1.008383333,1.388233333,0.501,2.686,null,null,null,0,6,Top,100.48,10.17,,,460026,,150708_223454,-5.699,-130.1,-4.896,13.801,31.277,-18.106,3.56,1.65,477,113.7,21.768,87.437,2116,5.472,414918,543734,460026,572019,518934,571448,453064,488681,453568,471865,55.0269,0.992,1.935,2,1,0,3,6,45,5
CH,7/7/2015,84.6,-2.6198,6.188,Mike Trout,545361,518452,home_run,hit_into_play_score,,,,,4,Mike Trout homers (22) on a line drive to left field.   Johnny Giavotella scores.    Kole Calhoun scores.,R,R,R,COL,LAA,X,null,line_drive,1,1,2015,-0.987266667,0.5225,-0.619,2.663,543213,null,594777,1,2,Top,25.9,70.7,,,460026,,150707_190814,6.274,-122.952,-2.589,-9.467,23.517,-28.64,3.57,1.64,416,113.5,19.98,83.948,1455,5.948,414903,518452,460026,501647,518934,571448,453064,453211,453568,471865,54.5513,0.958,1.729,2,1,0,3,6,15,3
FC,9/3/2015,90.1,-1.9481,6.1392,Carlos Gonzalez,471865,502004,home_run,hit_into_play_score,,,,,5,Carlos Gonzalez homers (35) on a line drive to right field.    Jose Reyes scores.,R,L,R,COL,SF,X,null,line_drive,2,1,2015,0.085708333,0.7934,-0.06,2.398,null,408314,null,0,4,Bot,234.16,90.03,,,572180,,150903_202305,3.907,-131.112,-4.618,2.687,29.524,-24.94,3.55,1.66,405,112.4,19.536,89.288,2364,6.06,415650,502004,572180,457763,605509,622110,501303,543633,434636,407781,54.4393,0.95,1.689,2,1,0,3,6,36,4
SL,9/2/2015,83.1,1.9806,6.1415,Carlos Gonzalez,471865,594857,home_run,hit_into_play_score,,,,,8,Carlos Gonzalez hits a grand slam (32) to right center field.   Cristhian Adames scores.    Charlie Blackmon scores.    Jose Reyes scores.,R,L,L,COL,ARI,X,null,line_drive,1,1,2015,-0.419466667,0.112566667,-0.067,1.7,542436,453568,408314,0,7,Bot,199.5,41.2,,,456078,,150902_213435,-3.965,-120.893,-3.746,-3.085,22.656,-33.003,3.56,1.65,458,111.8,19.592,82.719,null,6.139,415631,594857,456078,571875,594838,592273,572008,542255,572041,444482,54.3601,0.95,1.689,2,1,0,3,6,62,3
FS,8/5/2015,88.3,-2.6263,6.2723,Carlos Gonzalez,471865,592836,home_run,hit_into_play_score,,,,,8,Carlos Gonzalez homers (22) on a line drive to right center field.    Drew Stubbs scores.    Nolan Arenado scores.,R,L,R,COL,SEA,X,null,line_drive,0,1,2015,-0.7479,0.6515,-0.03,1.542,453211,null,571448,2,6,Bot,177.16,23.91,,,572287,,150805_150422,7.357,-128.194,-6.194,-7.567,20.592,-26.734,3.55,1.64,468,111.8,18.747,89.353,1481,6.673,415263,592836,572287,444432,429664,572122,606466,429711,457706,443558,53.8264,0.917,1.552,2,1,0,3,6,51,2
FF,8/4/2015,96.9,-2.3543,6.1951,Nelson Cruz,443558,623184,home_run,hit_into_play_score,,,,,5,Nelson Cruz homers (31) on a fly ball to center field.,R,R,R,COL,SEA,X,null,fly_ball,1,2,2015,-0.700583333,0.7891,0.102,2.593,null,null,null,0,7,Top,100.51,16.28,,,460026,,150804_205737,7.693,-140.856,-5.126,-8.241,31.771,-23.839,3.64,1.64,456,111.6,25.127,96.961,2210,6.447,415248,623184,460026,572019,518934,571448,408314,592621,453568,471865,54.0523,0.994,1.964,2,1,0,3,6,58,5
SL,6/5/2015,88.5,-2.3237,6.0641,Giancarlo Stanton,519317,572750,home_run,hit_into_play_score,,,,,5,Giancarlo Stanton homers (18) on a fly ball to center field.,R,R,R,COL,MIA,X,null,fly_ball,1,1,2015,-0.082683333,0.265933333,0.257,2.433,null,null,null,1,3,Top,93.91,10.68,,,460026,,150605_191916,5.755,-128.706,-2.829,0.577,27.447,-31.325,3.77,1.72,478,111.2,25.169,87.262,null,5.74,414466,572750,460026,572019,518934,571448,453064,488681,453568,471865,54.7588,0.992,1.953,2,1,0,3,6,18,3
FF,4/24/2015,92.5,-2.0343,5.8603,Justin Maxwell,452239,572750,home_run,hit_into_play_score,,,,,7,Justin Maxwell homers (2) on a line drive to left center field.   Brandon Belt scores.,R,R,R,COL,SF,X,null,line_drive,1,0,2015,-1.041541667,1.252066667,-0.45,2.26,null,null,474832,0,2,Top,53.81,32.04,,,460026,,150424_185758,5.55,-134.51,-5.9,-11.94,30.58,-18.73,3.73,1.8,454,110.7,21.14,91.607,2027,5.957,413895,572750,460026,408047,518934,571448,518614,572816,453568,471865,54.5117,0.961,1.75,2,1,0,3,6,9,2
SL,9/4/2015,78.3,-2.8641,5.3855,Carlos Gonzalez,471865,518790,home_run,hit_into_play_score,,,,,7,Carlos Gonzalez homers (36) on a line drive to right center field.,R,L,R,COL,SF,X,null,line_drive,3,2,2015,0.551916667,0.2086,-0.34,2.13,null,null,null,2,1,Bot,189.13,31.03,,,null,,150904_185742,3.8,-114.09,-0.44,6.39,23.3,-32.02,3.55,1.64,455,110.7,23.128,78.059,null,6.472,415663,null,null,null,null,null,null,null,null,null,54.027,0.987,1.893,2,1,0,3,6,6,6
