pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,pos2_person_id,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pos1_person_id,pos2_person_id,pos3_person_id,pos4_person_id,pos5_person_id,pos6_person_id,pos7_person_id,pos8_person_id,pos9_person_id,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number
CH,8/6/2016,88.5,-2.7706,5.757,Giancarlo Stanton,519317,518452,home_run,hit_into_play_score,,,,,5,Giancarlo Stanton homers (23) on a line drive to left center field.  ,R,R,R,COL,MIA,X,null,line_drive,0,0,2016,-0.521058333,0.3892,0.025,2.472,null,null,null,2,5,Top,55.15,13.56,,,460026,,160806_192750,6.675,-128.739,-2.069,-4.809,21.387,-29.845,3.74,1.73,504,115.8,18.262,89.24,1617,6.185,448510,518452,460026,448602,518934,571448,518614,621311,453568,471865,54.3149,0.901,1.526,2,1,0,3,6,36,1
FF,7/21/2016,97.8,-2.2996,5.6363,Carlos Gonzalez,471865,592314,home_run,hit_into_play_score,,,,,6,Carlos Gonzalez homers (20) on a line drive to right center field.    Charlie Blackmon scores.    DJ LeMahieu scores.,R,L,R,COL,ATL,X,null,line_drive,1,1,2016,-0.742333333,1.130233333,0.325,2.501,null,453568,518934,0,6,Bot,189.34,32.89,,,null,,160721_201554,7.558,-142.182,-5.033,-9.18,26.735,-18.551,3.55,1.64,459,114.1,18.2709,null,null,null,448289,null,null,null,null,null,null,null,null,null,54.1516,0.918,1.501,2,1,0,3,6,43,3
FF,8/20/2017,94,-1.2995,6.1254,Mark Reynolds,448602,461872,home_run,hit_into_play_score,,,,,4,Mark Reynolds homers (26) on a fly ball to left field.  ,R,R,R,COL,MIL,X,null,fly_ball,1,0,2017,-0.5851,1.3468,-0.3937,2.3529,null,null,null,0,8,Bot,17.95,81.42,,,444489,,170820_223240,3.6188,-136.7847,-7.1016,-8.0521,24.4295,-14.0403,3.3879,1.4094,422,112.1,25.108,94.553,2243,6.186,491950,461872,444489,542583,519299,543768,606115,460075,542979,570267,54.3139,0.994,1.964,2,1,0,3,6,71,2
FF,4/26/2016,90.6,2.4486,6.1025,Andrew McCutchen,457705,407822,home_run,hit_into_play_score,,,,,8,Andrew McCutchen homers (3) on a line drive to left center field.,R,R,L,COL,PIT,X,null,line_drive,3,1,2016,0.870608333,1.388233333,0.089,1.821,null,null,null,1,1,Top,45.18,36.62,,,547172,,160426_184502,-8.228,-131.569,-6.924,12.743,25.122,-17.421,3.38,1.63,439,111.4,25.446,89.758,1965,5.519,447173,407822,547172,572019,518934,571448,542436,467827,488681,471865,54.9818,0.992,1.953,2,1,0,3,6,2,5
CU,8/3/2016,73,1.9331,6.194,Carlos Gonzalez,471865,628711,home_run,hit_into_play_score,,,,,3,Carlos Gonzalez homers (23) on a line drive to right field.    DJ LeMahieu scores.,R,L,L,COL,LAD,X,null,line_drive,0,0,2016,-0.408333333,-0.661433333,0.761,3.231,null,null,518934,0,6,Bot,213.19,53.24,,,454560,,160803_203008,-2.412,-106.244,2.86,-2.293,17.435,-39.004,3.55,1.64,445,111.2,19.327,71.819,2694,5.102,448464,628711,454560,408236,435062,457759,608369,571771,592626,475100,55.3981,0.901,1.482,2,1,0,3,6,53,1
CH,5/6/2017,84,1.9083,6.0439,Mark Reynolds,448602,571578,home_run,hit_into_play_score,,,,,8,Mark Reynolds homers (10) on a line drive to left center field.   Nolan Arenado scores.  ,R,R,L,COL,ARI,X,null,line_drive,2,1,2017,0.8529,1.2721,-0.1822,1.9006,null,571448,null,1,1,Bot,58.68,40.98,,,455104,,170507_003748,-6.5968,-122.0842,-5.865,9.8571,20.4793,-18.3029,3.66,1.73,418,111.2,18.076,85.153,1771,6.769,490544,571578,455104,502671,592273,571875,605113,630111,572041,453923,53.731,0.86,1.315,2,1,0,3,6,10,4
FF,5/26/2017,88.9,-0.6238,6.2957,Mark Reynolds,448602,621199,home_run,hit_into_play_score,,,,,7,Mark Reynolds homers (13) on a fly ball to left center field.   Nolan Arenado scores.  ,R,R,R,COL,STL,X,null,fly_ball,3,1,2017,-0.9183,0.6825,-0.3111,2.3108,null,571448,null,2,8,Bot,51.82,46.9,,,425877,,170527_024635,2.6255,-129.2981,-5.1782,-10.7248,22.6748,-23.837,3.66,1.73,458,111.1,25.444,88.83,1861,5.917,490826,621199,425877,572761,543939,576397,594824,502054,451594,545341,54.5836,0.992,1.953,2,1,0,3,6,57,5
SL,5/14/2017,83.3,-2.3986,6.2319,Yasiel Puig,624577,622608,home_run,hit_into_play_score,,,,,4,Yasiel Puig homers (7) on a line drive to left field.  ,R,R,R,COL,LAD,X,null,line_drive,2,1,2017,1.0062,0.6425,-0.564,2.2465,null,null,null,1,2,Top,19.93,75.81,,,572863,,170514_194549,2.2624,-121.0469,-3.939,9.3731,22.0568,-25.4296,3.54,1.61,381,110.8,16.01,82.832,2181,5.9,490660,622608,572863,448602,518934,571448,642162,435622,453568,471865,54.6004,0.775,1.032,2,1,0,3,6,14,4
FF,4/8/2016,94.2,-3.696,6.1865,Melvin Upton Jr.,425834,502522,home_run,hit_into_play_score,,,,,5,Melvin Upton homers (1) on a fly ball to left field.   Derek Norris scores.,R,R,R,COL,SD,X,null,fly_ball,2,0,2016,-0.959433333,1.492866667,-0.223,2.681,519083,null,null,1,6,Top,33.03,52.34,,,460026,,160408_164729,10.33,-136.58,-6.621,-11.156,32.845,-15.227,3.49,1.6,434,110.7,30.039,93.42,2299,6.361,446923,502522,460026,448602,518934,571448,596115,467827,453568,471865,54.1392,0.975,1.946,2,1,0,3,6,61,3
FF,6/14/2016,98,-2.5537,5.868,Trevor Story,596115,543135,home_run,hit_into_play_score,,,,,8,Trevor Story homers (17) on a fly ball to center field.   Carlos Gonzalez scores.,R,R,R,COL,NYY,X,null,fly_ball,3,2,2016,-0.905158333,1.2578,0.102,2.018,null,null,471865,0,4,Bot,117.42,17.63,,,435263,,160614_195554,8.212,-142.287,-7.11,-11.583,28.302,-16.75,3.52,1.6,454,110.7,21.486,97.774,2229,5.867,447837,543135,435263,608701,516770,452104,544369,458731,453056,543305,54.6337,0.961,1.75,2,1,0,3,6,31,6
FF,7/7/2016,90.9,1.498,6.2124,Trevor Story,596115,605388,home_run,hit_into_play_score,,,,,5,Trevor Story homers (21) on a line drive to center field.,R,R,L,COL,PHI,X,null,line_drive,1,0,2016,0.634025,1.237733333,-0.193,2.239,null,null,null,2,5,Bot,92.89,16.62,,,null,,160707_195948,-6.359,-132.194,-6.04,9.877,23.939,-19.074,3.54,1.6,447,110.6,20.46,89.657,2367,5.093,448152,null,null,null,null,null,null,null,null,null,55.407,0.935,1.624,2,1,0,3,6,42,2
